country,amount
United States,1.16072E+11
Japan,1.12101E+11
Germany,47218378657
United Kingdom,22733195412
France,15218918781
Sweden,6304288721
Norway,4048812437
Canada,3397685234
Switzerland,2843761170
Denmark,2786105819
Belgium,1960099037
Spain,1452984096
Italy,1434829557
Finland,485257922
Austria,13801533
Liechtenstein,-14022383
Iceland,-17887544
Portugal,-106341740
Australia,-126001949
New Zealand,-168838425
Slovenia,-225285172
United Arab Emirates,-232569486
Estonia,-251070561
Latvia,-423495040
Luxembourg,-443485810
Greece,-486710721
Lithuania,-514143270
Qatar,-629264696
Ireland,-639494271
Slovak Republic,-820800049
Cyprus,-968149348
Czech Republic,-2132982906
Hungary,-2925002939
Saudi Arabia,-3179338414
Taiwan,-3315816912
Romania,-3329059861
Kuwait,-6402461757
Chile,-7333564781
South Africa,-18655555070
Korea,-23995275733
Poland,-24516822004
Colombia,-25530345512
Brazil,-36606123638
Thailand,-49041291979
India,-1.3398E+11
