,recipient,donor,coalesced_purpose_name,amount
26,Chile,Belgium,Industrial development,522868.0
27,Chile,Canada,Industrial development,18676468.0
28,Chile,France,Air transport,859097.0
29,Chile,France,Industrial development,524894.0
30,Chile,France,Rail transport,138444885.0
31,Chile,Germany,Industrial development,12253925.0
32,Chile,Italy,Industrial development,569118.0
33,Chile,Japan,Industrial development,5379848.0
34,Chile,Japan,Rail transport,67201891.0
35,Chile,Korea,Air transport,28586.0
36,Chile,Norway,Industrial development,392917.0
37,Chile,Spain,Air transport,20706.0
38,Chile,Spain,Industrial development,2505456.0
39,Chile,Sweden,Industrial development,1084383.0
40,Chile,Switzerland,Industrial development,1984348.0
41,Chile,United States,Air transport,777158312.0
42,Chile,United States,Industrial development,675643062.0
43,Chile,United States,Power generation/non-renewable sources,67384606.0
44,Chile,United States,Rail transport,16601.0
